mwpm|dumb|nn
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|Z|Z
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|Z|Z
I|I|I
I|X|X
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|Z|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|X|X
I|I|I
I|I|I
I|I|I
I|I|I
I|X|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|Z|Z
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|X|I
I|I|I
I|I|I
I|X|X
I|I|I
I|X|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|X|X
I|I|I
I|X|X
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|X|X
I|I|I
I|I|I
I|I|I
I|I|I
I|Z|Z
I|Z|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|Z|I
I|X|X
I|I|I
I|I|I
I|I|I
I|I|I
I|X|X
I|I|I
I|I|I
I|Z|I
I|I|I
I|X|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|X|X
I|X|X
I|I|I
I|I|I
I|I|I
I|X|X
I|I|I
I|X|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|X|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|X|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|X|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|X|I
I|I|I
I|X|X
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|Z
I|I|I
I|I|I
I|Z|Z
I|I|I
I|I|I
I|I|I
I|Z|I
I|I|I
I|I|I
I|I|I
I|X|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|X|X
I|I|I
I|X|I
I|I|I
I|I|I
I|I|I
I|Z|Z
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|Z|Z
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|Z|I
I|Y|Z
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|X|I
I|I|I
I|X|I
I|I|I
I|X|X
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|Z|I
I|Z|Z
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|X|X
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|Z|Z
I|I|I
I|Z|I
I|I|I
I|I|I
I|I|I
I|I|I
I|X|X
I|I|I
I|X|X
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|Z|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|Z|Z
I|X|X
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|X|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|Z|I
I|I|I
I|I|I
I|X|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|Z|Z
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|Z|Z
I|I|I
I|I|I
I|I|I
I|I|I
I|X|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|Z|Z
I|I|I
I|I|I
I|I|I
I|X|X
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|X|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|X|I
I|I|I
I|I|I
I|I|I
I|I|I
I|X|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|X|X
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|X|X
I|I|I
I|I|I
I|I|I
I|I|I
I|Z|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|X|X
I|Z|Z
I|Z|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|X|X
I|Z|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|X|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|X|I
I|I|I
I|Z|I
I|I|I
I|I|I
I|I|I
I|I|I
I|Z|I
I|I|I
I|Z|I
I|Z|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|X|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|Z|Z
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|I|I
I|X|I
I|I|I
I|I|I
I|I|I
